"missing_prob","true_rank","signal","mar3_avg_rank","limit_avg_rank","mar3_accuracy","limit_accuracy"
0.2,3,3,3,3,1,1
0.2,3,6,3,3,1,1
0.2,3,12,3,3,1,1
0.2,3,24,3,3,1,1
0.2,5,3,3.8,5,0.2,1
0.2,5,6,4.8,5,0.8,1
0.2,5,12,5,5,1,1
0.2,5,24,5,5,1,1
0.2,8,3,0,7.6,0,0.6
0.2,8,6,2.2,8,0,1
0.2,8,12,6.4,8,0.2,1
0.2,8,24,4.4,8,0.2,1
0.4,3,3,3,3,1,1
0.4,3,6,3,3,1,1
0.4,3,12,3,3,1,1
0.4,3,24,3,3,1,1
0.4,5,3,5,5,1,1
0.4,5,6,5,5,1,1
0.4,5,12,5,5,1,1
0.4,5,24,5,5,1,1
0.4,8,3,5.6,5,0.4,0
0.4,8,6,8,6.6,1,0.2
0.4,8,12,7.6,6.8,0.8,0.2
0.4,8,24,7.6,7.2,0.6,0.4
0.6,3,3,3,0.8,1,0
0.6,3,6,3,2.8,1,0.8
0.6,3,12,3,3,1,1
0.6,3,24,3,3,1,1
0.6,5,3,5,0,1,0
0.6,5,6,5,0.4,1,0
0.6,5,12,5,1.2,1,0
0.6,5,24,5,1.6,1,0
0.6,8,3,7.2,0,0.4,0
0.6,8,6,8,0,1,0
0.6,8,12,8,0,1,0
0.6,8,24,8,0,1,0
